deal_id,stage,stage_order,stage_duration_days,rep,region,segment,seller_tenure_years,seller_tenure_bucket,approval_count,quote_revisions,outcome
26,Lead,1,4.04,REP_087,EMEA,SMB,2.1,1-3,4,0,Won
26,Qualify,2,0.9,REP_087,EMEA,SMB,2.1,1-3,4,0,Won
26,Opportunity,3,2.91,REP_087,EMEA,SMB,2.1,1-3,4,0,Won
26,Quote,4,2.59,REP_087,EMEA,SMB,2.1,1-3,4,0,Won
26,Close,5,2.56,REP_087,EMEA,SMB,2.1,1-3,4,0,Won
27,Lead,1,6.16,REP_026,North America,Mid-Market,3.4,3-6,0,2,Won
27,Qualify,2,2.04,REP_026,North America,Mid-Market,3.4,3-6,0,2,Won
27,Opportunity,3,33.94,REP_026,North America,Mid-Market,3.4,3-6,0,2,Won
27,Quote,4,5.61,REP_026,North America,Mid-Market,3.4,3-6,0,2,Won
27,Close,5,1.36,REP_026,North America,Mid-Market,3.4,3-6,0,2,Won
28,Lead,1,2.59,REP_068,North America,SMB,7.5,6+,2,1,Won
28,Qualify,2,3.69,REP_068,North America,SMB,7.5,6+,2,1,Won
28,Opportunity,3,6.64,REP_068,North America,SMB,7.5,6+,2,1,Won
28,Quote,4,3.39,REP_068,North America,SMB,7.5,6+,2,1,Won
28,Close,5,2.69,REP_068,North America,SMB,7.5,6+,2,1,Won
29,Lead,1,1.07,REP_118,EMEA,Mid-Market,2.7,1-3,3,1,Won
29,Qualify,2,7.78,REP_118,EMEA,Mid-Market,2.7,1-3,3,1,Won
29,Opportunity,3,8.28,REP_118,EMEA,Mid-Market,2.7,1-3,3,1,Won
29,Quote,4,0.84,REP_118,EMEA,Mid-Market,2.7,1-3,3,1,Won
29,Close,5,4.88,REP_118,EMEA,Mid-Market,2.7,1-3,3,1,Won
30,Lead,1,3.61,REP_178,LATAM,Mid-Market,5.3,3-6,2,4,Lost
30,Qualify,2,13.45,REP_178,LATAM,Mid-Market,5.3,3-6,2,4,Lost
30,Opportunity,3,1.7,REP_178,LATAM,Mid-Market,5.3,3-6,2,4,Lost
31,Lead,1,0.1,REP_001,APAC,Mid-Market,3.5,3-6,1,1,Won
31,Qualify,2,9.43,REP_001,APAC,Mid-Market,3.5,3-6,1,1,Won
31,Opportunity,3,9.63,REP_001,APAC,Mid-Market,3.5,3-6,1,1,Won
31,Quote,4,1.31,REP_001,APAC,Mid-Market,3.5,3-6,1,1,Won
31,Close,5,1.12,REP_001,APAC,Mid-Market,3.5,3-6,1,1,Won
32,Lead,1,0.36,REP_130,EMEA,SMB,2.5,1-3,3,1,Lost
32,Qualify,2,1.98,REP_130,EMEA,SMB,2.5,1-3,3,1,Lost
32,Opportunity,3,2.31,REP_130,EMEA,SMB,2.5,1-3,3,1,Lost
32,Quote,4,3.76,REP_130,EMEA,SMB,2.5,1-3,3,1,Lost
33,Lead,1,2.11,REP_153,North America,SMB,2.2,1-3,1,3,Won
33,Qualify,2,1.84,REP_153,North America,SMB,2.2,1-3,1,3,Won
33,Opportunity,3,5.19,REP_153,North America,SMB,2.2,1-3,1,3,Won
33,Quote,4,5.82,REP_153,North America,SMB,2.2,1-3,1,3,Won
33,Close,5,1.34,REP_153,North America,SMB,2.2,1-3,1,3,Won
34,Lead,1,2.71,REP_172,EMEA,Mid-Market,0.2,0-1,1,2,Lost
34,Qualify,2,5.76,REP_172,EMEA,Mid-Market,0.2,0-1,1,2,Lost
34,Opportunity,3,19.57,REP_172,EMEA,Mid-Market,0.2,0-1,1,2,Lost
35,Lead,1,3.84,REP_077,North America,Mid-Market,1.2,1-3,4,2,Won
35,Qualify,2,3.06,REP_077,North America,Mid-Market,1.2,1-3,4,2,Won
35,Opportunity,3,8.84,REP_077,North America,Mid-Market,1.2,1-3,4,2,Won
35,Quote,4,6.55,REP_077,North America,Mid-Market,1.2,1-3,4,2,Won
35,Close,5,3.44,REP_077,North America,Mid-Market,1.2,1-3,4,2,Won
36,Lead,1,2.53,REP_022,North America,Enterprise,3.2,3-6,3,3,Won
36,Qualify,2,5.41,REP_022,North America,Enterprise,3.2,3-6,3,3,Won
36,Opportunity,3,9.47,REP_022,North America,Enterprise,3.2,3-6,3,3,Won
36,Quote,4,16.9,REP_022,North America,Enterprise,3.2,3-6,3,3,Won
36,Close,5,1.11,REP_022,North America,Enterprise,3.2,3-6,3,3,Won
37,Lead,1,1.35,REP_049,EMEA,SMB,3.7,3-6,5,0,Lost
37,Qualify,2,0.8,REP_049,EMEA,SMB,3.7,3-6,5,0,Lost
37,Opportunity,3,12.91,REP_049,EMEA,SMB,3.7,3-6,5,0,Lost
38,Lead,1,8.57,REP_154,EMEA,Enterprise,6.2,6+,2,2,Won
38,Qualify,2,9.22,REP_154,EMEA,Enterprise,6.2,6+,2,2,Won
38,Opportunity,3,21.54,REP_154,EMEA,Enterprise,6.2,6+,2,2,Won
38,Quote,4,12.48,REP_154,EMEA,Enterprise,6.2,6+,2,2,Won
38,Close,5,2.16,REP_154,EMEA,Enterprise,6.2,6+,2,2,Won
39,Lead,1,1.73,REP_159,EMEA,SMB,0.8,0-1,3,4,Lost
39,Qualify,2,4.23,REP_159,EMEA,SMB,0.8,0-1,3,4,Lost
39,Opportunity,3,12.66,REP_159,EMEA,SMB,0.8,0-1,3,4,Lost
39,Quote,4,1.75,REP_159,EMEA,SMB,0.8,0-1,3,4,Lost
40,Lead,1,2.15,REP_115,North America,SMB,3.5,3-6,3,2,Won
40,Qualify,2,0.66,REP_115,North America,SMB,3.5,3-6,3,2,Won
40,Opportunity,3,11.19,REP_115,North America,SMB,3.5,3-6,3,2,Won
40,Quote,4,8.82,REP_115,North America,SMB,3.5,3-6,3,2,Won
40,Close,5,1.07,REP_115,North America,SMB,3.5,3-6,3,2,Won
41,Lead,1,1.01,REP_023,LATAM,SMB,2.9,1-3,1,1,Lost
41,Qualify,2,2.2,REP_023,LATAM,SMB,2.9,1-3,1,1,Lost
41,Opportunity,3,7.44,REP_023,LATAM,SMB,2.9,1-3,1,1,Lost
42,Lead,1,2.56,REP_022,North America,Mid-Market,3.2,3-6,5,0,Lost
42,Qualify,2,7.15,REP_022,North America,Mid-Market,3.2,3-6,5,0,Lost
43,Lead,1,3.16,REP_087,EMEA,SMB,2.1,1-3,1,1,Won
43,Qualify,2,2.96,REP_087,EMEA,SMB,2.1,1-3,1,1,Won
43,Opportunity,3,10.55,REP_087,EMEA,SMB,2.1,1-3,1,1,Won
43,Quote,4,4.24,REP_087,EMEA,SMB,2.1,1-3,1,1,Won
43,Close,5,3.04,REP_087,EMEA,SMB,2.1,1-3,1,1,Won
44,Lead,1,1.63,REP_106,EMEA,SMB,5.1,3-6,1,1,Won
44,Qualify,2,8.07,REP_106,EMEA,SMB,5.1,3-6,1,1,Won
44,Opportunity,3,21.78,REP_106,EMEA,SMB,5.1,3-6,1,1,Won
44,Quote,4,5.99,REP_106,EMEA,SMB,5.1,3-6,1,1,Won
44,Close,5,1.13,REP_106,EMEA,SMB,5.1,3-6,1,1,Won
45,Lead,1,5.48,REP_006,LATAM,Mid-Market,2.4,1-3,0,0,Lost
45,Qualify,2,1.84,REP_006,LATAM,Mid-Market,2.4,1-3,0,0,Lost
45,Opportunity,3,12.45,REP_006,LATAM,Mid-Market,2.4,1-3,0,0,Lost
45,Quote,4,1.59,REP_006,LATAM,Mid-Market,2.4,1-3,0,0,Lost
46,Lead,1,8.63,REP_124,North America,Mid-Market,6.7,6+,1,0,Won
46,Qualify,2,8.25,REP_124,North America,Mid-Market,6.7,6+,1,0,Won
46,Opportunity,3,27.76,REP_124,North America,Mid-Market,6.7,6+,1,0,Won
46,Quote,4,5.38,REP_124,North America,Mid-Market,6.7,6+,1,0,Won
46,Close,5,1.01,REP_124,North America,Mid-Market,6.7,6+,1,0,Won
47,Lead,1,0.64,REP_099,North America,SMB,4.0,3-6,0,0,Won
47,Qualify,2,3.82,REP_099,North America,SMB,4.0,3-6,0,0,Won
47,Opportunity,3,1.4,REP_099,North America,SMB,4.0,3-6,0,0,Won
47,Quote,4,4.23,REP_099,North America,SMB,4.0,3-6,0,0,Won
47,Close,5,0.23,REP_099,North America,SMB,4.0,3-6,0,0,Won
48,Lead,1,1.59,REP_003,APAC,SMB,3.8,3-6,2,0,Won
48,Qualify,2,4.45,REP_003,APAC,SMB,3.8,3-6,2,0,Won
48,Opportunity,3,1.33,REP_003,APAC,SMB,3.8,3-6,2,0,Won
48,Quote,4,5.72,REP_003,APAC,SMB,3.8,3-6,2,0,Won
48,Close,5,4.67,REP_003,APAC,SMB,3.8,3-6,2,0,Won
49,Lead,1,2.61,REP_018,North America,Mid-Market,1.0,0-1,6,3,Lost
50,Lead,1,2.86,REP_082,North America,SMB,2.9,1-3,4,2,Won
50,Qualify,2,6.88,REP_082,North America,SMB,2.9,1-3,4,2,Won
50,Opportunity,3,7.65,REP_082,North America,SMB,2.9,1-3,4,2,Won
50,Quote,4,4.04,REP_082,North America,SMB,2.9,1-3,4,2,Won
50,Close,5,1.7,REP_082,North America,SMB,2.9,1-3,4,2,Won
51,Lead,1,0.32,REP_131,North America,SMB,5.8,3-6,3,1,Won
51,Qualify,2,2.65,REP_131,North America,SMB,5.8,3-6,3,1,Won
51,Opportunity,3,5.12,REP_131,North America,SMB,5.8,3-6,3,1,Won
51,Quote,4,5.1,REP_131,North America,SMB,5.8,3-6,3,1,Won
51,Close,5,2.89,REP_131,North America,SMB,5.8,3-6,3,1,Won
52,Lead,1,3.45,REP_149,North America,Mid-Market,4.7,3-6,4,2,Won
52,Qualify,2,6.16,REP_149,North America,Mid-Market,4.7,3-6,4,2,Won
52,Opportunity,3,6.62,REP_149,North America,Mid-Market,4.7,3-6,4,2,Won
52,Quote,4,5.47,REP_149,North America,Mid-Market,4.7,3-6,4,2,Won
52,Close,5,7.3,REP_149,North America,Mid-Market,4.7,3-6,4,2,Won
53,Lead,1,2.53,REP_078,EMEA,SMB,2.7,1-3,4,1,Won
53,Qualify,2,0.33,REP_078,EMEA,SMB,2.7,1-3,4,1,Won
53,Opportunity,3,0.66,REP_078,EMEA,SMB,2.7,1-3,4,1,Won
53,Quote,4,0.82,REP_078,EMEA,SMB,2.7,1-3,4,1,Won
53,Close,5,1.24,REP_078,EMEA,SMB,2.7,1-3,4,1,Won
54,Lead,1,4.28,REP_054,EMEA,Mid-Market,0.3,0-1,0,2,Won
54,Qualify,2,3.28,REP_054,EMEA,Mid-Market,0.3,0-1,0,2,Won
54,Opportunity,3,11.74,REP_054,EMEA,Mid-Market,0.3,0-1,0,2,Won
54,Quote,4,2.58,REP_054,EMEA,Mid-Market,0.3,0-1,0,2,Won
54,Close,5,4.23,REP_054,EMEA,Mid-Market,0.3,0-1,0,2,Won
55,Lead,1,2.53,REP_175,North America,SMB,4.9,3-6,0,0,Won
55,Qualify,2,0.5,REP_175,North America,SMB,4.9,3-6,0,0,Won
55,Opportunity,3,16.52,REP_175,North America,SMB,4.9,3-6,0,0,Won
55,Quote,4,2.26,REP_175,North America,SMB,4.9,3-6,0,0,Won
55,Close,5,0.37,REP_175,North America,SMB,4.9,3-6,0,0,Won
56,Lead,1,1.64,REP_083,APAC,SMB,0.5,0-1,3,1,Won
56,Qualify,2,5.89,REP_083,APAC,SMB,0.5,0-1,3,1,Won
56,Opportunity,3,2.24,REP_083,APAC,SMB,0.5,0-1,3,1,Won
56,Quote,4,4.42,REP_083,APAC,SMB,0.5,0-1,3,1,Won
56,Close,5,1.62,REP_083,APAC,SMB,0.5,0-1,3,1,Won
57,Lead,1,0.62,REP_057,North America,SMB,5.6,3-6,2,1,Won
57,Qualify,2,3.58,REP_057,North America,SMB,5.6,3-6,2,1,Won
57,Opportunity,3,2.63,REP_057,North America,SMB,5.6,3-6,2,1,Won
57,Quote,4,2.69,REP_057,North America,SMB,5.6,3-6,2,1,Won
57,Close,5,0.93,REP_057,North America,SMB,5.6,3-6,2,1,Won
58,Lead,1,0.87,REP_080,APAC,SMB,4.1,3-6,2,4,Lost
58,Qualify,2,2.38,REP_080,APAC,SMB,4.1,3-6,2,4,Lost
59,Lead,1,3.28,REP_003,APAC,SMB,3.8,3-6,0,0,Lost
59,Qualify,2,4.62,REP_003,APAC,SMB,3.8,3-6,0,0,Lost
60,Lead,1,0.34,REP_055,EMEA,SMB,2.0,1-3,1,1,Lost
60,Qualify,2,1.72,REP_055,EMEA,SMB,2.0,1-3,1,1,Lost
60,Opportunity,3,1.92,REP_055,EMEA,SMB,2.0,1-3,1,1,Lost
61,Lead,1,5.53,REP_093,North America,Enterprise,3.2,3-6,3,1,Won
61,Qualify,2,5.64,REP_093,North America,Enterprise,3.2,3-6,3,1,Won
61,Opportunity,3,41.84,REP_093,North America,Enterprise,3.2,3-6,3,1,Won
61,Quote,4,4.2,REP_093,North America,Enterprise,3.2,3-6,3,1,Won
61,Close,5,2.63,REP_093,North America,Enterprise,3.2,3-6,3,1,Won
62,Lead,1,1.43,REP_166,North America,Enterprise,3.3,3-6,5,0,Lost
62,Qualify,2,9.43,REP_166,North America,Enterprise,3.3,3-6,5,0,Lost
63,Lead,1,3.09,REP_133,EMEA,SMB,6.7,6+,4,3,Won
63,Qualify,2,0.9,REP_133,EMEA,SMB,6.7,6+,4,3,Won
63,Opportunity,3,5.65,REP_133,EMEA,SMB,6.7,6+,4,3,Won
63,Quote,4,4.14,REP_133,EMEA,SMB,6.7,6+,4,3,Won
63,Close,5,0.86,REP_133,EMEA,SMB,6.7,6+,4,3,Won
64,Lead,1,3.02,REP_141,EMEA,Mid-Market,1.8,1-3,0,0,Lost
64,Qualify,2,7.01,REP_141,EMEA,Mid-Market,1.8,1-3,0,0,Lost
65,Lead,1,2.55,REP_099,North America,Mid-Market,4.0,3-6,0,4,Won
65,Qualify,2,6.04,REP_099,North America,Mid-Market,4.0,3-6,0,4,Won
65,Opportunity,3,10.94,REP_099,North America,Mid-Market,4.0,3-6,0,4,Won
65,Quote,4,6.04,REP_099,North America,Mid-Market,4.0,3-6,0,4,Won
65,Close,5,1.79,REP_099,North America,Mid-Market,4.0,3-6,0,4,Won
66,Lead,1,5.31,REP_020,EMEA,Enterprise,4.5,3-6,0,1,Lost
66,Qualify,2,3.18,REP_020,EMEA,Enterprise,4.5,3-6,0,1,Lost
66,Opportunity,3,5.42,REP_020,EMEA,Enterprise,4.5,3-6,0,1,Lost
67,Lead,1,0.41,REP_071,North America,SMB,6.9,6+,2,0,Lost
67,Qualify,2,6.91,REP_071,North America,SMB,6.9,6+,2,0,Lost
67,Opportunity,3,1.45,REP_071,North America,SMB,6.9,6+,2,0,Lost
68,Lead,1,0.27,REP_180,APAC,SMB,3.7,3-6,1,0,Won
68,Qualify,2,2.69,REP_180,APAC,SMB,3.7,3-6,1,0,Won
68,Opportunity,3,4.78,REP_180,APAC,SMB,3.7,3-6,1,0,Won
68,Quote,4,1.86,REP_180,APAC,SMB,3.7,3-6,1,0,Won
68,Close,5,1.91,REP_180,APAC,SMB,3.7,3-6,1,0,Won
69,Lead,1,1.45,REP_008,APAC,SMB,4.1,3-6,0,1,Won
69,Qualify,2,5.39,REP_008,APAC,SMB,4.1,3-6,0,1,Won
69,Opportunity,3,8.27,REP_008,APAC,SMB,4.1,3-6,0,1,Won
69,Quote,4,3.2,REP_008,APAC,SMB,4.1,3-6,0,1,Won
69,Close,5,1.29,REP_008,APAC,SMB,4.1,3-6,0,1,Won
70,Lead,1,2.65,REP_159,EMEA,SMB,0.8,0-1,0,0,Lost
70,Qualify,2,5.28,REP_159,EMEA,SMB,0.8,0-1,0,0,Lost
70,Opportunity,3,1.15,REP_159,EMEA,SMB,0.8,0-1,0,0,Lost
71,Lead,1,1.72,REP_124,North America,SMB,6.7,6+,1,0,Won
71,Qualify,2,1.76,REP_124,North America,SMB,6.7,6+,1,0,Won
71,Opportunity,3,1.82,REP_124,North America,SMB,6.7,6+,1,0,Won
71,Quote,4,2.83,REP_124,North America,SMB,6.7,6+,1,0,Won
71,Close,5,1.04,REP_124,North America,SMB,6.7,6+,1,0,Won
72,Lead,1,5.13,REP_052,North America,Enterprise,1.5,1-3,4,3,Lost
73,Lead,1,4.7,REP_141,EMEA,Enterprise,1.8,1-3,4,3,Won
73,Qualify,2,8.47,REP_141,EMEA,Enterprise,1.8,1-3,4,3,Won
73,Opportunity,3,30.9,REP_141,EMEA,Enterprise,1.8,1-3,4,3,Won
73,Quote,4,4.67,REP_141,EMEA,Enterprise,1.8,1-3,4,3,Won
73,Close,5,4.34,REP_141,EMEA,Enterprise,1.8,1-3,4,3,Won
74,Lead,1,1.15,REP_151,APAC,SMB,3.1,3-6,2,0,Lost
74,Qualify,2,3.24,REP_151,APAC,SMB,3.1,3-6,2,0,Lost
75,Lead,1,0.65,REP_008,APAC,Mid-Market,4.1,3-6,2,3,Lost
76,Lead,1,2.45,REP_020,EMEA,SMB,4.5,3-6,1,3,Lost
76,Qualify,2,3.31,REP_020,EMEA,SMB,4.5,3-6,1,3,Lost
77,Lead,1,8.34,REP_120,EMEA,Mid-Market,3.8,3-6,3,2,Won
77,Qualify,2,4.78,REP_120,EMEA,Mid-Market,3.8,3-6,3,2,Won
77,Opportunity,3,8.49,REP_120,EMEA,Mid-Market,3.8,3-6,3,2,Won
77,Quote,4,15.99,REP_120,EMEA,Mid-Market,3.8,3-6,3,2,Won
77,Close,5,4.04,REP_120,EMEA,Mid-Market,3.8,3-6,3,2,Won
78,Lead,1,0.96,REP_180,APAC,Mid-Market,3.7,3-6,2,1,Won
78,Qualify,2,7.87,REP_180,APAC,Mid-Market,3.7,3-6,2,1,Won
78,Opportunity,3,12.33,REP_180,APAC,Mid-Market,3.7,3-6,2,1,Won
78,Quote,4,2.31,REP_180,APAC,Mid-Market,3.7,3-6,2,1,Won
78,Close,5,1.39,REP_180,APAC,Mid-Market,3.7,3-6,2,1,Won
79,Lead,1,0.93,REP_005,North America,SMB,3.6,3-6,4,0,Won
79,Qualify,2,2.18,REP_005,North America,SMB,3.6,3-6,4,0,Won
79,Opportunity,3,8.14,REP_005,North America,SMB,3.6,3-6,4,0,Won
79,Quote,4,1.09,REP_005,North America,SMB,3.6,3-6,4,0,Won
79,Close,5,1.48,REP_005,North America,SMB,3.6,3-6,4,0,Won
80,Lead,1,1.7,REP_120,EMEA,Enterprise,3.8,3-6,5,4,Won
80,Qualify,2,6.69,REP_120,EMEA,Enterprise,3.8,3-6,5,4,Won
80,Opportunity,3,2.72,REP_120,EMEA,Enterprise,3.8,3-6,5,4,Won
80,Quote,4,25.53,REP_120,EMEA,Enterprise,3.8,3-6,5,4,Won
80,Close,5,5.72,REP_120,EMEA,Enterprise,3.8,3-6,5,4,Won
81,Lead,1,1.87,REP_025,APAC,Enterprise,6.0,6+,3,3,Won
81,Qualify,2,7.7,REP_025,APAC,Enterprise,6.0,6+,3,3,Won
81,Opportunity,3,22.22,REP_025,APAC,Enterprise,6.0,6+,3,3,Won
81,Quote,4,6.11,REP_025,APAC,Enterprise,6.0,6+,3,3,Won
81,Close,5,3.66,REP_025,APAC,Enterprise,6.0,6+,3,3,Won
82,Lead,1,2.44,REP_118,EMEA,Mid-Market,2.7,1-3,3,1,Won
